seed,direction,variant,split,field_strength,status,balanced_accuracy,auc,macro_f1,sensitivity,specificity,accuracy,brier,ece,group_gap,worst_group_auc,n_subjects,n
43,adni_to_nacc,ce_only,source_val,1.5T,complete,0.7769230769230769,0.8980769230769232,0.7607565011820331,0.6538461538461539,0.9,0.7608695652173914,0.1703437143655466,0.1567473544077812,0.2571428571428571,0.7428571428571429,46,46
43,adni_to_nacc,ce_only,source_val,3T,complete,0.7285714285714285,0.7714285714285715,0.7333333333333332,0.6,0.8571428571428571,0.75,0.24258135035149622,0.2301597259938717,0.625,0.375,12,12
43,adni_to_nacc,ce_only,source_test,1.5T,complete,0.8512145748987854,0.9392712550607287,0.843205574912892,0.8076923076923077,0.8947368421052632,0.8444444444444444,0.11056278804052905,0.06035598687551638,0.125,0.875,45,45
43,adni_to_nacc,ce_only,source_test,3T,complete,1.0,,0.5,,1.0,1.0,0.006983012474491782,0.039372593164444004,,,6,6
43,adni_to_nacc,mixstyle,target,3T,complete,0.7966158206218221,0.9042746797810564,0.7966158206218221,0.6720430107526881,0.9211886304909561,0.8729166666666667,0.09808359412742255,0.0549456497499099,0.10250107948317666,0.8516624040920716,960,960
43,adni_to_nacc,mixstyle,source_val,1.5T,complete,0.8153846153846154,0.8923076923076922,0.8042553191489361,0.7307692307692307,0.9,0.8043478260869565,0.14269242092418727,0.12603993416912315,0.19999999999999996,0.8,46,46
43,adni_to_nacc,mixstyle,source_val,3T,complete,0.7285714285714285,0.7428571428571429,0.7333333333333332,0.6,0.8571428571428571,0.75,0.2325467199747745,0.2481267336342069,0.375,0.625,12,12
43,adni_to_nacc,mixstyle,source_test,1.5T,complete,0.8248987854251012,0.8947368421052632,0.8200000000000001,0.8076923076923077,0.8421052631578947,0.8222222222222222,0.1407721402190015,0.10794466281378715,0.29166666666666663,0.7083333333333334,45,45
43,adni_to_nacc,mixstyle,source_test,3T,complete,1.0,,0.5,,1.0,1.0,0.004270563133549436,0.03452466924985246,,,6,6
43,adni_to_nacc,metadata,target,3T,complete,0.5,0.5,0.4463667820069204,0.0,1.0,0.80625,0.19375,0.19374999999999998,0.0,0.5,960,960
43,adni_to_nacc,metadata,source_val,1.5T,complete,0.7961538461538462,0.8730769230769231,0.7826086956521738,0.6923076923076923,0.9,0.782608695652174,0.17486024337165998,0.12088912548362334,0.2857142857142858,0.7142857142857142,46,46
43,adni_to_nacc,metadata,source_val,3T,complete,0.6571428571428571,0.6285714285714286,0.6571428571428571,0.6,0.7142857142857143,0.6666666666666666,0.2589610029038785,0.3035280716915925,0.625,0.375,12,12
